idx,chain,chip,bit,blob_n,cx_pct,cy_pct,area
803,4,2,3,0,59.49,48.52,984
803,4,2,3,1,70.89,49.2,48
803,4,2,3,2,74.79,48.29,48
803,4,2,3,3,78.18,48.37,44
803,4,2,3,4,67.88,47.18,40
803,4,2,3,5,60.83,45.94,36
803,4,2,3,6,41.88,47.12,32
803,4,2,3,7,60.62,50.18,28
803,4,2,3,8,77.71,52.78,24
803,4,2,3,9,72.19,47.12,16
803,4,2,3,10,48.12,50.32,16
804,4,2,4,0,59.31,48.29,916
804,4,2,4,1,78.28,48.72,64
804,4,2,4,2,74.55,48.48,44
804,4,2,4,3,70.94,49.62,40
804,4,2,4,4,60.36,45.79,28
804,4,2,4,5,56.88,50.75,24
804,4,2,4,6,60.31,50.64,24
804,4,2,4,7,41.88,45.83,16
804,4,2,4,8,64.06,46.15,16
805,4,2,5,0,60.02,48.73,4708
806,4,2,6,0,65.25,48.91,3624
806,4,2,6,1,44.37,48.52,1028
814,4,2,14,0,61.04,72.27,5204
815,4,2,15,0,60.66,72.12,5360
816,4,3,0,0,60.64,72.12,5356
817,4,3,1,0,60.64,72.12,5356
818,4,3,2,0,60.56,72.12,5324
826,4,3,10,0,60.31,84.17,4304
827,4,3,11,0,40.89,78.48,28
827,4,3,11,1,40.73,90.17,24
827,4,3,11,2,40.16,87.82,16
828,4,3,12,0,40.75,78.33,20
829,4,3,13,0,57.96,83.68,1788
829,4,3,13,1,44.21,83.67,1048
829,4,3,13,2,40.12,93.97,20
830,4,3,14,0,40.34,97.61,44
830,4,3,14,1,79.27,91.45,24
830,4,3,14,2,68.54,93.48,24
830,4,3,14,3,71.88,93.91,24
830,4,3,14,4,73.5,92.82,20
830,4,3,14,5,70.47,92.15,16
830,4,3,14,6,40.16,93.59,16
830,4,3,14,7,54.84,96.31,16
831,4,3,15,0,40.62,90.71,24
960,5,0,0,0,59.39,8.25,1224
960,5,0,0,1,0.16,53.21,16
960,5,0,0,2,0.0,56.09,16
961,5,0,1,0,59.27,8.27,1256
962,5,0,2,0,59.23,8.05,1208
962,5,0,2,1,0.21,55.98,24
962,5,0,2,2,0.16,52.56,16
963,5,0,3,0,59.83,8.89,3816
963,5,0,3,1,0.21,55.41,36
963,5,0,3,2,0.31,51.92,16
966,5,0,6,0,0.42,51.5,48
967,5,0,7,0,0.25,52.69,20
968,5,0,8,0,0.25,53.08,20
969,5,0,9,0,60.17,27.65,4520
969,5,0,9,1,0.08,53.04,32
970,5,0,10,0,60.25,27.6,4652
970,5,0,10,1,0.23,55.85,32
